FBID	CG	Symbol	Ben_377	Handler_144	Muerdter_87	sum
FBgn0003401	CG4735	shu	1	1	1	3
FBgn0016034	CG11254	mael	1	1	1	3
FBgn0027499	CG12340	wde	1	1	1	3
FBgn0028411	CG12752	Nxt1	1	1	1	3
FBgn0033273	CG2183	Gasz	1	1	1	3
FBgn0034617	CG9754	Panx	1	1	1	3
FBgn0036826	CG3893	arx	1	1	1	3
FBgn0037707	CG16788	RnpS1	1	1	1	3
FBgn0041164	CG11513	armi	1	1	1	3
FBgn0261266	CG12314	zuc	1	1	1	3
FBgn0263143	CG4771	vret	1	1	1	3
FBgn0000376	CG2714	crm	1	1	0	2
FBgn0000928	CG2706	fs(1)Yb	0	1	1	2
FBgn0001197	CG5499	His2Av	1	1	0	2
FBgn0002736	CG9401	mago	1	1	0	2
FBgn0004872	CG6122	piwi	1	1	0	2
FBgn0011741	CG11678	Arp6	1	1	0	2
FBgn0020261	CG3291	pcm	1	1	0	2
FBgn0021761	CG4579	Nup154	1	0	1	2
FBgn0027865	CG6120	Tsp96F	1	0	1	2
FBgn0028982	CG12225	Spt6	1	0	1	2
FBgn0029113	CG7528	Uba2	1	0	1	2
FBgn0029512	CG12276	Aos1	1	0	1	2
FBgn0032030	CG17293	Wdr82	1	1	0	2
FBgn0032321	CG4621	YL-1	1	1	0	2
FBgn0032720	CG10603	mRpL13	1	1	0	2
FBgn0033378	CG8781	tsu	1	1	0	2
FBgn0033526	CG12892	Caf1-105	1	1	0	2
FBgn0033737	CG8831	Nup54	1	1	0	2
FBgn0033806	CG4616	FLASH	1	1	0	2
FBgn0035357	CG1244	MEP-1	1	1	0	2
FBgn0035842	CG7504	CG7504	1	1	0	2
FBgn0035987	CG3689	Cpsf5	1	1	0	2
FBgn0036640	CG4118	nxf2	1	0	1	2
FBgn0038016	CG10042	MBD-R2	1	0	1	2
FBgn0038546	CG7379	CG7379	1	1	0	2
FBgn0038768	CG4936	CG4936	1	1	0	2
FBgn0038923	CG13410	mRpL35	1	1	0	2
FBgn0051992	CG31992	gw	1	1	0	2
FBgn0087013	CG1059	Karybeta3	0	1	1	2
FBgn0260634	CG10192	eIF4G2	1	0	1	2
FBgn0263198	CG10473	Acn	1	1	0	2
n.d.	NA	NA	1	1	0	2
FBgn0000008	CG6741	a	0	0	1	1
FBgn0000032	CG7899	Acph-1	0	0	1	1
FBgn0000092	CG2650	CG2650	0	0	1	1
FBgn0000139	CG6677	ash2	1	0	0	1
FBgn0000146	CG6137	aub	1	0	0	1
FBgn0000163	CG5055	baz	0	0	1	1
FBgn0000451	CG6611	ect	1	0	0	1
FBgn0000541	CG32346	E(bx)	1	0	0	1
FBgn0000575	CG1007	emc	1	0	0	1
FBgn0000578	CG15112	ena	1	0	0	1
FBgn0000629	CG6502	E(z)	1	0	0	1
FBgn0001179	CG8019	hay	1	0	0	1
FBgn0001220	CG8542	Hsc70-5	1	0	0	1
FBgn0001222	CG5748	Hsf	1	0	0	1
FBgn0001341	CG6189	Mybbp1A	1	0	0	1
FBgn0001624	CG1725	dlg1	0	0	1	1
FBgn0001989	CG13240	ND-B17	0	1	0	1
FBgn0001994	CG7664	crp	1	0	0	1
FBgn0002021	CG10655	l(2)37Bb	1	0	0	1
FBgn0002044	CG10084	swm	1	0	0	1
FBgn0002431	CG9484	hyd	1	0	0	1
FBgn0002579	CG7622	RpL36	1	0	0	1
FBgn0002638	CG10480	Rcc1	1	0	0	1
FBgn0002787	CG3416	Rpn8	1	0	0	1
FBgn0002791	CG3060	mr	0	1	0	1
FBgn0002962	CG5637	nos	1	0	0	1
FBgn0003023	CG12743	otu	1	0	0	1
FBgn0003041	CG8114	pbl	1	0	0	1
FBgn0003062	CG9888	Fib	1	0	0	1
FBgn0003141	CG16784	pr	1	0	0	1
FBgn0003162	CG9441	Pu	0	0	1	1
FBgn0003261	CG10279	Rm62	1	0	0	1
FBgn0003300	CG1849	run	0	0	1	1
FBgn0003321	CG1664	sbr	0	1	0	1
