FBID	CG	Symbol	mean	status
FBgn0263198	CG10473	Acn	-4.5265769465273	4
FBgn0086251	CG9252	del	-4.522614783389743	4
FBgn0267347	CG4711	squ	-4.325577168586179	4
FBgn0016034	CG11254	mael	-4.237527278644376	4
FBgn0260932	CG13190	cuff	-4.234478064115118	4
FBgn0033374	CG13741	Boot	-4.212612939646351	4
FBgn0261266	CG12314	zuc	-4.169807961954865	4
FBgn0030373	CG12721	moon	-4.1451325936040355	4
FBgn0033273	CG2183	Gasz	-4.108271860297992	4
FBgn0034617	CG9754	Panx	-4.1033190888205535	4
FBgn0033921	CG8589	tej	-4.08761899418757	4
FBgn0036640	CG4118	nxf2	-4.02046527807095	4
FBgn0004872	CG6122	piwi	-4.005475702652662	4
FBgn0002021	CG10655	l(2)37Bb	-3.98450749685906	4
FBgn0031398	CG10880	daed	-3.97563708788636	4
FBgn0000451	CG6611	ect	-3.916067287706447	4
FBgn0030293	CG1737	CG1737	-3.8695611495312994	4
FBgn0003483	CG3158	spn-E	-3.855130066314765	4
FBgn0287725	CG14438	sov	-3.817619661150575	4
FBgn0004400	CG10683	rhi	-3.8109954843145224	4
FBgn0003401	CG4735	shu	-3.7823453306960997	4
FBgn0041164	CG11513	armi	-3.708313483261631	4
n.d.	CG43081	n.d.	-3.6547936244967425	4
FBgn0035842	CG7504	Setx	-3.5764630288507946	3
FBgn0263143	CG4771	vret	-3.556647124871331	4
FBgn0034988	CG3362	cN-IIIB	-3.4970035099355905	4
FBgn0001197	CG5499	His2Av	-3.3390555429253297	4
FBgn0000146	CG6137	aub	-3.15518377807607	4
FBgn0016687	CG4634	Nurf-38	-3.1544113048161186	2
FBgn0037446	CG10267	Zif	-3.1191580569986743	4
FBgn0031979	CG7429	CCDC53	-3.0365267027141365	3
FBgn0010774	CG1101	Ref1	-2.94295077668266	2
FBgn0030451	CG15717	CG15717	-2.915879385319224	3
FBgn0031296	CG4415	CG4415	-2.83499338641299	3
FBgn0037205	CG11133	BoYb	-2.7525512021884526	3
FBgn0036826	CG3893	arx	-2.7491923227833515	3
FBgn0263232	CG32135	Nxf3	-2.744569835713024	2
FBgn0027579	CG5508	mino	-2.671664011611246	3
FBgn0033526	CG12892	Caf1-105	-2.6676717983114826	4
FBgn0011592	CG8581	fra	-2.6261814383225586	4
FBgn0027499	CG12340	wde	-2.621961237800701	3
FBgn0004644	CG4637	hh	-2.6179843788421526	3
FBgn0013347	CG5163	TfIIA-S	-2.616501442385826	3
FBgn0014127	CG10726	barr	-2.599086854487301	4
FBgn0039691	CG1972	IntS11	-2.5094959381951987	2
FBgn0029941	CG1677	CG1677	-2.4896632234006786	4
FBgn0283469	CG6842	Vps4	-2.465189037348285	3
FBgn0036973	CG5585	Rbbp5	-2.4612839919477776	3
FBgn0000541	CG32346	E(bx)	-2.4019433731543276	4
FBgn0036147	CG6199	Plod	-2.4005070782058797	3
FBgn0263832	CG1135	Rcd5	-2.397897597882311	3
FBgn0021750	CG4938	SerRS-m	-2.3749548216135627	2
FBgn0033062	CG7843	Ars2	-2.323103822950107	2
FBgn0010411	CG8900	RpS18	-2.2508598494817926	3
FBgn0032197	CG5694	ova	-2.2451207100837896	2
FBgn0010387	CG8627	Acbp2	-2.2345481727770933	3
FBgn0029867	CG3847	CG3847	-2.187094887366995	3
FBgn0035286	CG13924	CG13924	-2.1759059213736776	3
FBgn0035323	CG13807	CG13807	-2.1587829060221813	2
FBgn0033897	CG8233	Rcd1	-2.149333989680246	3
FBgn0004687	CG3201	Mlc-c	-2.1482427353533797	3
FBgn0036373	CG10741	Tgi	-2.143183403158385	2
FBgn0264962	CG10228	Pcf11	-2.139222592270891	3
FBgn0023177	CG32505	Pp4-19C	-2.1385784006096236	3
FBgn0016041	CG12157	Tom40	-2.1290112455050227	3
FBgn0039254	CG13645	Nmnat	-2.1114039340348163	3
FBgn0001994	CG7664	crp	-2.104197009449841	2
FBgn0026575	CG32575	hang	-2.1035786075139877	3
FBgn0032030	CG17293	Wdr82	-2.1018938418660977	2
FBgn0024996	CG2677	eIF2Bbeta	-2.0808195228399478	3
FBgn0037707	CG16788	RnpS1	-2.0806525017115414	1
FBgn0035357	CG1244	MEP-1	-2.077077292245001	2
FBgn0033806	CG4616	FLASH	-2.0501789477538312	2
FBgn0023095	CG11282	caps	-2.024946042994904	1
